title,author,publisher,publication_year,call_number,ISBN
중국어 문법책,相原茂;石田知子;戶沼市子 [같이]지음;박귀진;민병석 [공]편역,시사중국어문화원,2003,725 상787중,9788973649105
외촌장 기행,김주영 지음,문이당,2001,813.6 김64 v.3,8974561530
동화 밖으로 나온 공주,마샤 그래드 지음;김연수 옮김,뜨인돌,2005,843 그298동,9788986183726
조선의 청백리,이영춘...[등]지음,가람기획,2003,991.1 조53청,8984351563
내 여자친구의 장례식,이응준 지음,문학동네,2003,813.6 이96내,8982811826
염소를 모는 여자,전경린 지음,문학동네,2002,813.6 전14염,8985712993
그녀는 조용히 살고 있다,이해경 지음,문학동네,2003,813.6 이78그,8982816119
깊은 강은 멀리 흐른다,김영현 지음,실천문학사,2002,813.6 김94깊,8939203526
누나야,반칠환 지음,시와시학사,2003,811.6 반667누,8982121730
(인목대비 서궁에 갇히다)계축일기,작자 미상;조재현 옮김,서해문집,2003,813.5 오298,897483183X
Those who can teach,[by] David Grant,Steele roberts Aotearoa New Zealand,20??,W 371.102 G761t,1877338214
위대한 개츠비,F. 스콧 피츠제럴드 지음;방대수 옮김;성혜영 그림,책만드는집,2005,843 피666위,9788979441290
티베트우화,진현종 [옮겨엮음],청어람미디어,2003,220.912 진74티,9788989722311
(내가 만난)일본 미술 이야기,안혜정 지음,아트북스,2004,653.13 ㅇ231ㅇ,8989800188
호모 시네마쿠스,류상욱 지음,아웃사이더,2003,688.04 ㄹ822ㅎ,8990720028
